DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2017-Q1,102.4,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2017-Q2,103.4,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2017-Q3,105.1,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2017-Q4,107.2,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2018-Q1,105.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2018-Q2,105.8,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2018-Q3,105.4,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2018-Q4,105.0,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2019-Q1,105.6,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2019-Q2,104.9,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2019-Q3,104.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2019-Q4,103.5,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2020-Q1,100.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2020-Q2,84.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2020-Q3,98.3,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2020-Q4,103.6,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2021-Q1,105.1,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2021-Q2,104.7,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2021-Q3,103.9,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2021-Q4,104.0,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2022-Q1,104.9,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2022-Q2,105.1,
ESTAT:STS_INPR_Q(1.0),14/11/22 11:00:00,Q,PROD,B-D,SCA,I15,EA19,2022-Q3,105.6,s
