DATAFLOW,LAST UPDATE,freq,indic,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-04,-0.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-05,0.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-06,1.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-07,2.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-08,2.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-09,4.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-10,6.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-11,5.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1988-12,5.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-01,5.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-02,6.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-03,5.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-04,4.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-05,5.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-06,6.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-07,6.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-08,5.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-09,4.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-10,4.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-11,5.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1989-12,4.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-01,4.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-02,3.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-03,3.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-04,3.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-05,1.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-06,1.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-07,1.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-08,0.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-09,0.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-10,-0.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-11,-1.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1990-12,-2.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-01,-7.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-02,-10.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-03,-11.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-04,-10.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-05,-11.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-06,-11.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-07,-11.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-08,-11.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-09,-12.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-10,-12.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-11,-12.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1991-12,-13.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-01,-12.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-02,-12.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-03,-13.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-04,-14.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-05,-14.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-06,-15.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-07,-17.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-08,-19.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-09,-22.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-10,-25.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-11,-28.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1992-12,-29.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-01,-29.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-02,-29.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-03,-28.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-04,-29.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-05,-28.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-06,-28.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-07,-29.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-08,-27.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-09,-25.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-10,-23.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-11,-20.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1993-12,-20.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-01,-17.0,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-02,-14.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-03,-12.2,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-04,-8.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-05,-7.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-06,-6.6,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-07,-4.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-08,-2.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-09,-0.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-10,1.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-11,2.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1994-12,3.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-01,3.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-02,3.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-03,2.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-04,1.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-05,-0.1,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-06,-1.9,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-07,-2.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-08,-4.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-09,-6.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-10,-7.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-11,-8.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1995-12,-10.3,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-01,-12.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-02,-14.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-03,-15.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-04,-15.4,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-05,-15.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-06,-15.5,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-07,-14.8,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-08,-13.7,
ESTAT:EI_BSIN_M_R2(1.0),28/10/22 11:00:00,M,BS-ICI,SA,BAL,EA19,1996-09,-12.8,
